iter	Passed	Remaining
0	121	121343
1	123	61846
2	126	41983
3	128	32058
4	131	26102
5	133	22110
6	136	19295
7	138	17206
8	141	15571
9	143	14233
10	145	13116
11	148	12186
12	150	11429
13	153	10778
14	155	10227
15	157	9709
16	159	9251
17	162	8851
18	164	8479
19	166	8144
20	168	7846
21	170	7581
22	172	7328
23	174	7109
24	176	6902
25	179	6720
26	181	6538
27	183	6369
28	185	6206
29	187	6048
30	189	5924
31	191	5805
32	193	5669
33	194	5535
34	196	5411
35	197	5297
36	199	5196
37	201	5109
38	203	5022
39	205	4939
40	208	4867
41	210	4804
42	212	4731
43	214	4667
44	216	4602
45	218	4538
46	220	4469
47	221	4400
48	223	4332
49	224	4270
50	226	4207
51	227	4146
52	229	4091
53	230	4036
54	231	3984
55	233	3931
56	234	3884
57	236	3836
58	237	3791
59	238	3744
60	240	3699
61	241	3658
62	243	3617
63	244	3576
64	245	3538
65	247	3499
66	248	3463
67	249	3419
68	250	3385
69	252	3353
70	253	3321
71	255	3290
72	257	3265
73	258	3240
74	260	3215
75	262	3190
76	264	3164
77	265	3137
78	267	3114
79	268	3088
80	270	3067
81	271	3044
82	273	3021
83	274	2998
84	275	2969
85	277	2947
86	278	2922
87	280	2902
88	281	2881
89	282	2858
90	284	2837
91	285	2818
92	286	2798
93	288	2778
94	289	2758
95	290	2739
96	292	2723
97	293	2704
98	295	2685
99	296	2668
100	297	2652
101	298	2629
102	300	2614
103	301	2597
104	302	2581
105	304	2565
106	305	2549
107	306	2533
108	308	2523
109	310	2511
110	311	2498
111	313	2484
112	314	2472
113	316	2459
114	317	2445
115	318	2430
116	320	2418
117	321	2404
118	322	2389
119	324	2377
120	325	2366
121	327	2355
122	328	2339
123	329	2327
124	330	2314
125	331	2302
126	333	2292
127	334	2278
128	336	2268
129	337	2258
130	338	2246
131	339	2234
132	341	2223
133	342	2212
134	343	2203
135	345	2192
136	346	2181
137	347	2168
138	348	2158
139	349	2147
140	350	2137
141	352	2128
142	353	2119
143	355	2110
144	356	2101
145	358	2096
146	360	2090
147	361	2082
148	363	2073
149	364	2067
150	366	2062
151	368	2056
152	370	2049
153	371	2041
154	373	2034
155	374	2026
156	376	2019
157	377	2013
158	379	2008
159	381	2000
160	382	1994
161	384	1989
162	386	1984
163	388	1979
164	390	1974
165	391	1968
166	393	1961
167	394	1956
168	396	1950
169	398	1944
170	400	1939
171	401	1933
172	403	1928
173	405	1922
174	406	1918
175	408	1912
176	410	1908
177	412	1904
178	413	1898
179	415	1891
180	415	1881
181	417	1874
182	418	1867
183	419	1860
184	420	1853
185	422	1846
186	423	1840
187	424	1835
188	426	1829
189	427	1822
190	428	1815
191	429	1809
192	431	1802
193	432	1798
194	434	1793
195	435	1786
196	436	1780
197	438	1774
198	439	1769
199	440	1763
200	442	1757
201	443	1751
202	444	1744
203	445	1738
204	446	1733
205	448	1727
206	449	1722
207	451	1717
208	452	1712
209	453	1707
210	455	1702
211	456	1696
212	457	1691
213	459	1686
214	460	1681
215	461	1676
216	463	1671
217	464	1665
218	465	1660
219	466	1654
220	467	1648
221	469	1644
222	470	1639
223	471	1633
224	472	1627
225	473	1622
226	474	1617
227	476	1611
228	477	1607
229	478	1602
230	480	1598
231	481	1595
232	483	1591
233	484	1587
234	486	1583
235	487	1578
236	488	1573
237	489	1568
238	491	1563
239	492	1558
240	493	1553
241	494	1549
242	495	1544
243	496	1539
244	498	1535
245	499	1531
246	500	1527
247	502	1522
248	503	1517
249	504	1513
250	505	1509
251	507	1504
252	508	1501
253	509	1497
254	511	1493
255	512	1489
256	513	1484
257	514	1480
258	515	1475
259	516	1471
260	518	1467
261	519	1463
262	520	1459
263	522	1455
264	523	1451
265	524	1447
266	525	1443
267	526	1439
268	527	1434
269	528	1429
270	530	1425
271	531	1421
272	532	1417
273	533	1413
274	534	1409
275	535	1405
276	537	1401
277	538	1398
278	539	1394
279	541	1391
280	542	1387
281	543	1383
282	544	1379
283	545	1375
284	546	1371
285	548	1368
286	549	1364
287	550	1360
288	551	1356
289	552	1353
290	554	1350
291	555	1347
292	556	1343
293	558	1340
294	559	1337
295	560	1333
296	561	1330
297	563	1326
298	564	1323
299	565	1319
300	566	1316
301	568	1313
302	569	1309
303	571	1307
304	572	1304
305	573	1301
306	574	1297
307	576	1294
308	577	1290
309	578	1287
310	579	1284
311	581	1281
312	582	1277
313	583	1274
314	585	1273
315	586	1270
316	588	1267
317	589	1264
318	590	1261
319	591	1257
320	593	1254
321	594	1251
322	595	1248
323	596	1244
324	597	1241
325	599	1238
326	600	1235
327	601	1233
328	602	1229
329	604	1226
330	605	1223
331	606	1220
332	607	1217
333	609	1214
334	610	1211
335	611	1209
336	614	1209
337	616	1207
338	617	1203
339	618	1201
340	619	1197
341	621	1194
342	622	1191
343	623	1188
344	624	1185
345	626	1183
346	627	1180
347	628	1177
348	629	1174
349	630	1171
350	631	1168
351	633	1165
352	634	1162
353	635	1159
354	636	1157
355	638	1154
356	639	1151
357	641	1149
358	642	1147
359	644	1145
360	645	1142
361	647	1140
362	648	1138
363	649	1135
364	651	1133
365	652	1130
366	653	1127
367	654	1124
368	656	1122
369	657	1119
370	658	1116
371	660	1114
372	662	1113
373	665	1113
374	667	1111
375	668	1109
376	670	1107
377	671	1104
378	672	1102
379	673	1099
380	675	1096
381	676	1094
382	677	1092
383	679	1090
384	681	1088
385	682	1085
386	683	1083
387	684	1080
388	686	1078
389	687	1075
390	688	1072
391	689	1069
392	690	1066
393	691	1064
394	693	1061
395	694	1058
396	695	1056
397	696	1053
398	697	1050
399	698	1048
400	699	1045
401	700	1042
402	702	1040
403	703	1037
404	704	1035
405	705	1032
406	706	1029
407	707	1027
408	709	1024
409	710	1022
410	711	1019
411	712	1016
412	713	1014
413	714	1011
414	715	1009
415	716	1006
416	718	1003
417	719	1001
418	720	999
419	721	996
420	722	993
421	723	991
422	724	988
423	725	986
424	727	983
425	728	981
426	729	978
427	730	976
428	731	973
429	732	971
430	733	968
431	735	966
432	736	963
433	737	961
434	738	958
435	739	956
436	740	953
437	741	951
438	742	949
439	743	946
440	744	944
441	745	941
442	746	939
443	748	936
444	749	934
445	750	932
446	751	929
447	752	927
448	753	924
449	754	922
450	755	919
451	756	917
452	757	915
453	759	912
454	760	910
455	761	908
456	762	905
457	763	903
458	764	901
459	765	898
460	766	896
461	767	894
462	769	891
463	770	889
464	771	887
465	772	885
466	773	883
467	775	881
468	776	878
469	777	876
470	778	874
471	779	872
472	780	870
473	782	867
474	783	865
475	784	863
476	785	861
477	786	858
478	787	856
479	788	854
480	789	852
481	791	850
482	792	848
483	793	846
484	794	844
485	796	841
486	797	839
487	798	837
488	799	835
489	800	833
490	801	831
491	803	829
492	804	827
493	805	825
494	806	822
495	807	820
496	808	818
497	810	816
498	811	814
499	812	812
500	813	810
501	814	808
502	815	805
503	816	803
504	818	801
505	819	799
506	820	797
507	821	795
508	822	793
509	823	791
510	824	789
511	825	787
512	827	785
513	828	783
514	829	781
515	830	778
516	831	776
517	832	774
518	833	772
519	834	770
520	836	768
521	837	766
522	838	765
523	840	763
524	841	761
525	842	759
526	843	757
527	844	755
528	846	753
529	847	751
530	848	749
531	849	747
532	850	745
533	851	743
534	853	741
535	854	739
536	855	737
537	856	735
538	857	733
539	859	732
540	860	730
541	861	727
542	862	726
543	863	724
544	865	722
545	866	720
546	867	718
547	868	716
548	869	714
549	870	712
550	871	710
551	872	708
552	874	706
553	875	704
554	876	702
555	877	700
556	878	698
557	879	696
558	880	694
559	881	692
560	882	690
561	883	688
562	884	686
563	885	684
564	885	682
565	886	680
566	887	678
567	888	675
568	889	673
569	890	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	898	658
577	899	656
578	900	654
579	901	653
580	902	651
581	903	649
582	904	647
583	906	645
584	907	643
585	908	641
586	909	639
587	910	638
588	911	636
589	913	634
590	914	632
591	915	630
592	916	629
593	917	627
594	918	625
595	920	623
596	921	622
597	922	620
598	923	618
599	925	616
600	926	615
601	927	613
602	928	611
603	929	609
604	930	607
605	931	605
606	933	604
607	934	602
608	935	600
609	936	598
610	938	597
611	939	595
612	940	593
613	941	591
614	942	589
615	943	588
616	944	586
617	946	584
618	947	583
619	948	581
620	950	579
